pre-specified mean daily river flow [m3/s] for selected sub-basins (MAP-IDs)		
Date	Timestep	Subbasin-ID.
20022001	1	2130	2219
21022001	1	2093	2249
22022001	1	1841	2183
23022001	1	1845	2119
24022001	1	1730	1980
25022001	1	1653	1664
26022001	1	1525	1771
27022001	1	1475	1761
28022001	1	1812	1949
01032001	1	2282	1972
02032001	1	2262	2058
03032001	1	1719	2064
04032001	1	1775	1760
05032001	1	2376	2176
06032001	1	2379	2043
07032001	1	2411	2189
08032001	1	2333	2113
09032001	1	2558	2156
10032001	1	1955	2037
11032001	1	1821	1804
12032001	1	2386	1915
13032001	1	1755	2145
14032001	1	1352	2084
15032001	1	1395	2011
16032001	1	1455	1982
17032001	1	1498	1818
18032001	1	1398	1693
19032001	1	1951	2014
20032001	1	2262	2023
21032001	1	2240	2055
22032001	1	2263	2014
23032001	1	2273	1995
24032001	1	1846	1887
25032001	1	1731	1727
26032001	1	2341	2054
27032001	1	2328	2031
28032001	1	2467	2038
29032001	1	2420	2012
30032001	1	2404	1981
31032001	1	1718	1752
01042001	1	1594	1489
02042001	1	2136	1938
03042001	1	2281	1835
04042001	1	2332	1817
05042001	1	2313	1928
06042001	1	2173	1984
07042001	1	1651	1775
08042001	1	1666	1580
09042001	1	2203	1901
10042001	1	2343	1905
11042001	1	2211	1871
12042001	1	1905	1865
13042001	1	1636	1500
14042001	1	1754	1536
15042001	1	1728	1501
16042001	1	2345	1790
17042001	1	2551	1835
18042001	1	2610	1807
19042001	1	2471	1736
20042001	1	2468	1865
21042001	1	1893	1595
22042001	1	1808	1617
23042001	1	2372	1926
24042001	1	1777	1905
25042001	1	1426	1919
26042001	1	1507	1848
27042001	1	1403	1960
28042001	1	1388	1896
29042001	1	1348	1574
30042001	1	1331	1961
01052001	1	1352	1466
02052001	1	1396	1897
03052001	1	1577	1854
04052001	1	1427	1813
05052001	1	1341	1792
06052001	1	1277	1489
07052001	1	1333	1865
08052001	1	1332	1947
09052001	1	1330	2088
10052001	1	1383	1998
11052001	1	1386	1978
12052001	1	1405	1762
13052001	1	1310	1680
14052001	1	1368	1918
15052001	1	1365	1878
16052001	1	1378	1815
17052001	1	1354	1835
18052001	1	1347	1745
19052001	1	1373	1764
20052001	1	1308	1562
21052001	1	1324	1562
22052001	1	1314	1594
23052001	1	1265	1513
24052001	1	1271	1642
25052001	1	1243	1640
26052001	1	1219	1533
27052001	1	1218	1533
28052001	1	1223	1487
29052001	1	1230	1558
30052001	1	1224	1550
31052001	1	1219	1468
01062001	1	1221	1301
02062001	1	1220	1272
03062001	1	1219	1272
04062001	1	1226	1217
05062001	1	1171	1250
06062001	1	1225	1312
07062001	1	1271	1252
08062001	1	1210	1319
09062001	1	1217	1252
10062001	1	1107	1252
11062001	1	1156	1305
12062001	1	1204	1305
13062001	1	1175	1208
14062001	1	1182	1138
15062001	1	1155	1019
16062001	1	1001	1036
17062001	1	1014	1019
18062001	1	1000	1002
19062001	1	997	1009
20062001	1	925	1235
21062001	1	1017	1311
22062001	1	1002	1190
23062001	1	1002	1172
24062001	1	1002	1039
25062001	1	1003	998
26062001	1	1012	1053
27062001	1	1005	1151
28062001	1	1018	998
29062001	1	1012	1119
30062001	1	1006	1134
01072001	1	1010	1029
02072001	1	1054	1028
03072001	1	1054	1028
04072001	1	1024	1066
05072001	1	1018	1068
06072001	1	1014	1073
07072001	1	1024	1148
08072001	1	1032	1054
09072001	1	1103	1105
10072001	1	1012	1092
11072001	1	1030	1042
12072001	1	1060	1042
13072001	1	1070	1210
14072001	1	1010	1203
15072001	1	1001	1028
16072001	1	1005	1095
17072001	1	1009	1112
18072001	1	1038	1097
19072001	1	996	1110
20072001	1	980	1096
21072001	1	990	1227
22072001	1	982	1032
23072001	1	981	1107
24072001	1	976	1145
25072001	1	975	1137
26072001	1	985	1168
27072001	1	969	1160
28072001	1	980	1205
29072001	1	986	1017
30072001	1	1024	1011
31072001	1	970	1038
01082001	1	971	1120
02082001	1	1041	1218
03082001	1	974	1176
04082001	1	974	1062
05082001	1	985	1065
06082001	1	985	1039
07082001	1	983	1069
08082001	1	981	1069
09082001	1	980	1058
10082001	1	975	1155
11082001	1	985	1129
12082001	1	982	1091
13082001	1	976	1106
14082001	1	977	1190
15082001	1	985	1154
16082001	1	979	1092
17082001	1	980	1149
18082001	1	980	1128
19082001	1	982	1132
20082001	1	980	1114
21082001	1	987	1151
22082001	1	988	1196
23082001	1	984	1193
24082001	1	990	1103
25082001	1	988	1135
26082001	1	998	1098
27082001	1	994	1068
28082001	1	988	1158
29082001	1	991	1209
30082001	1	998	1240
31082001	1	994	1175
01092001	1	1009	1187
02092001	1	1026	1084
03092001	1	1080	1125
04092001	1	1074	1173
05092001	1	1087	1167
06092001	1	1094	1164
07092001	1	1087	1102
08092001	1	1086	1046
09092001	1	1093	1086
10092001	1	1094	1133
11092001	1	1058	1170
12092001	1	1086	1424
13092001	1	1095	1170
14092001	1	1065	1391
15092001	1	1069	1291
16092001	1	1068	1170
17092001	1	1091	1305
18092001	1	1101	1369
19092001	1	1085	1260
20092001	1	1087	1204
21092001	1	1097	1254
22092001	1	1100	1396
23092001	1	1099	1161
24092001	1	1099	1247
25092001	1	1100	1249
26092001	1	1093	1314
27092001	1	1098	1402
28092001	1	1109	1229
29092001	1	1182	1147
30092001	1	1195	1166
01102001	1	1176	1264
02102001	1	1191	1329
03102001	1	1191	1295
04102001	1	1204	1380
05102001	1	1202	1370
06102001	1	1221	1380
07102001	1	1204	1208
08102001	1	1205	1409
09102001	1	1216	1187
10102001	1	1235	1380
11102001	1	1196	1227
12102001	1	1204	1147
13102001	1	1205	1122
14102001	1	1203	1140
15102001	1	1211	1178
16102001	1	1208	1203
17102001	1	1202	1257
18102001	1	1197	1263
19102001	1	1219	1252
20102001	1	1196	1203
21102001	1	1195	1273
22102001	1	1200	1167
23102001	1	1196	1179
24102001	1	1193	1260
25102001	1	1208	1176
26102001	1	1218	1220
27102001	1	1182	1237
28102001	1	1208	1156
29102001	1	1192	1310
30102001	1	1188	1202
31102001	1	1107	1220
01112001	1	1093	1312
02112001	1	1102	1166
03112001	1	1112	1200
04112001	1	1122	1161
05112001	1	1109	1191
06112001	1	1115	1348
07112001	1	1097	1363
08112001	1	1111	1317
09112001	1	1145	1308
10112001	1	1087	1210
11112001	1	1101	1163
12112001	1	1094	1240
13112001	1	1099	1316
14112001	1	1128	1347
15112001	1	1103	1214
16112001	1	1102	1223
17112001	1	1090	1267
18112001	1	1080	1160
19112001	1	1087	1308
20112001	1	1110	1244
21112001	1	1100	1289
22112001	1	1118	1362
23112001	1	1092	1328
24112001	1	1112	1372
25112001	1	1100	1168
26112001	1	1100	1176
27112001	1	1100	1186
28112001	1	1100	1215
29112001	1	1100	1301
30112001	1	1100	1303
01122001	1	1200	1315
02122001	1	1200	1384
03122001	1	1200	1318
04122001	1	1200	1269
05122001	1	1600	1265
06122001	1	1773	1320
07122001	1	2000	1253
08122001	1	2000	1244
09122001	1	2000	1252
10122001	1	1950	1167
11122001	1	1950	1180
12122001	1	1650	1418
13122001	1	1550	1352
14122001	1	1550	1238
15122001	1	1500	1197
16122001	1	1450	1297
17122001	1	1450	1272
18122001	1	1450	1414
19122001	1	1450	1308
20122001	1	1250	1406
21122001	1	1200	1274
22122001	1	1200	1299
23122001	1	1200	1198
24122001	1	1211	1161
25122001	1	1154	1070
26122001	1	1166	1229
27122001	1	1150	1291
28122001	1	1200	1274
29122001	1	1200	1292
30122001	1	1200	1106
31122001	1	1200	1107
01012002	1	1200	1128
02012002	1	1200	1167
03012002	1	1194	1172
04012002	1	1200	1455
05012002	1	1200	1345
06012002	1	1200	1088
07012002	1	1100	1311
08012002	1	1005	1254
09012002	1	1000	1219
10012002	1	1004	1235
11012002	1	1000	1266
12012002	1	994	1122
13012002	1	1000	1054
14012002	1	1000	1213
15012002	1	1000	1254
16012002	1	1000	1230
17012002	1	1000	1274
18012002	1	1000	1401
19012002	1	920	1520
20012002	1	940	1461
21012002	1	900	1677
22012002	1	900	1995
23012002	1	900	1912
24012002	1	978	1887
25012002	1	887	1808
26012002	1	887	1744
27012002	1	905	1558
28012002	1	980	1750
29012002	1	980	1478
30012002	1	980	1382
31012002	1	1000	1366
01022002	1	1000	1440
02022002	1	1000	1330
03022002	1	1016	1332
04022002	1	1077	1216
05022002	1	1008	1405
06022002	1	997	1414
07022002	1	1004	1470
08022002	1	999	1312
09022002	1	1003	1296
10022002	1	994	1139
11022002	1	1008	1063
12022002	1	1000	1112
13022002	1	989	1175
14022002	1	1227	1206
15022002	1	997	1323
16022002	1	1016	1282
17022002	1	1010	1178
18022002	1	1012	1355
19022002	1	1010	1473
20022002	1	1009	1395
21022002	1	1005	1468
